iter	RMSE
0	15.7864834
1	15.22381662
2	14.77014163
3	14.40850856
4	14.08300825
5	13.78871905
6	13.56374604
7	13.34966398
8	13.17056018
9	13.02252992
10	12.90035621
11	12.78292416
12	12.70337955
13	12.6324859
14	12.5504976
15	12.4740596
16	12.41970785
17	12.36472726
18	12.32095754
19	12.28086882
20	12.2480247
21	12.21846881
22	12.18804825
23	12.16548717
24	12.14418408
25	12.12231998
26	12.10145877
27	12.08252384
28	12.06729693
29	12.05660495
30	12.03619151
31	12.02670077
32	12.0125858
33	11.99961035
34	11.98764856
35	11.97509719
36	11.96693458
37	11.96111782
38	11.9529675
39	11.94605068
40	11.93940286
41	11.93363632
42	11.92227338
43	11.91720807
44	11.90837012
45	11.90270168
46	11.89746733
47	11.89459249
48	11.88547841
49	11.88209425
50	11.87603551
51	11.87256354
52	11.86586388
53	11.85635827
54	11.8488249
55	11.844671
56	11.83880888
57	11.8359671
58	11.83128261
59	11.82876946
60	11.82139848
61	11.81584742
62	11.8112306
63	11.80483893
64	11.79988013
65	11.79589728
66	11.79276723
67	11.78856851
68	11.78556558
69	11.78177355
70	11.77734811
71	11.773953
72	11.76758698
73	11.76412695
74	11.76109756
75	11.75618388
76	11.75175202
77	11.7453122
78	11.74328322
79	11.73792583
80	11.73558049
81	11.73327377
82	11.72945028
83	11.72603545
84	11.72200298
85	11.71960579
86	11.71648434
87	11.71132679
88	11.70857923
89	11.70586187
90	11.70312381
91	11.69912027
92	11.69620489
93	11.69371083
94	11.68904485
95	11.68463962
96	11.68071785
97	11.67229248
98	11.66617294
99	11.66422289
100	11.66133746
101	11.65852561
102	11.65118891
103	11.64740138
104	11.64544763
105	11.64155932
106	11.63772112
107	11.6329486
108	11.62874089
109	11.62709632
110	11.62456408
111	11.62220447
112	11.61752472
113	11.61351653
114	11.61112361
115	11.60857227
116	11.60517382
117	11.60064221
118	11.59868743
119	11.59460943
120	11.58951833
121	11.58261999
122	11.57921176
123	11.57613556
124	11.57500863
125	11.57237292
